City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.12,78,96,9.22,overcast clouds
80,Torbay,CA,47.6666,-52.7314,30.0,93,90,3.44,overcast clouds
81,Pedasi,PA,7.5333,-80.0333,79.9,80,73,17.72,broken clouds
82,Madimba,TZ,-10.4,40.3333,75.2,100,40,10.36,scattered clouds
83,Qaanaaq,GL,77.484,-69.3632,-2.04,80,0,4.05,clear sky
84,Beringovskiy,RU,63.05,179.3167,-10.53,89,100,10.25,overcast clouds
85,Windsor,CA,42.3001,-83.0165,41.0,75,90,12.66,overcast clouds
86,Lebu,CL,-37.6167,-73.65,55.15,84,0,15.05,clear sky
87,Tuatapere,NZ,-46.1333,167.6833,67.59,65,30,8.99,scattered clouds
88,Huaicheng,CN,23.9051,112.1931,55.44,36,14,1.14,few clouds
89,Kapaa,US,22.0752,-159.319,80.6,69,1,10.36,light rain
90,Ahipara,NZ,-35.1667,173.1667,74.34,58,3,5.75,clear sky
91,Zhigansk,RU,66.7697,123.3711,-40.68,80,93,11.7,overcast clouds
92,Pisco,PE,-13.7,-76.2167,69.8,83,0,20.71,clear sky
93,Khandyga,RU,62.6667,135.6,-47.2,76,68,1.28,broken clouds
94,Bongor,TD,10.2806,15.3722,65.32,25,61,7.56,broken clouds
95,Salym,RU,60.0625,71.4789,-16.04,88,0,6.8,clear sky
96,Namatanai,PG,-3.6667,152.4333,85.19,67,99,10.76,overcast clouds
97,Airai,TL,-8.9266,125.4092,72.97,81,100,1.63,overcast clouds
98,Katangli,RU,51.7102,143.2326,2.3,93,100,26.98,light snow
99,Labuhan,ID,-6.8844,112.2051,79.52,81,100,7.47,overcast clouds
100,Toora-Khem,RU,52.4675,96.11,-12.78,87,100,1.57,overcast clouds
101,Beira,MZ,-19.8436,34.8389,79.5,86,100,3.2,moderate rain
102,Nadym,RU,65.5333,72.5167,2.5,89,100,18.57,overcast clouds
103,Sao Filipe,CV,14.8961,-24.4956,71.85,71,53,11.07,broken clouds
104,Cape Town,ZA,-33.9258,18.4232,69.8,78,0,13.8,clear sky
105,Hervey Bay,AU,-25.2986,152.8535,84.99,56,2,5.01,clear sky
106,Poum,NC,-20.2333,164.0167,82.17,81,100,14.38,moderate rain
107,Kang,BW,-23.6752,22.7876,76.26,58,42,7.29,scattered clouds
108,Coihaique,CL,-45.5752,-72.0662,60.8,59,100,1.14,overcast clouds
109,San Patricio,US,28.017,-97.5169,53.6,82,1,9.22,clear sky
110,Cabo San Lucas,MX,22.8909,-109.9124,71.6,43,40,13.8,scattered clouds
111,Adeje,ES,28.1227,-16.726,63.0,44,20,13.8,few clouds
112,Gubkinskiy,RU,64.434,76.5026,5.2,92,83,22.26,broken clouds
113,Mar Del Plata,AR,-38.0023,-57.5575,64.0,63,0,11.5,clear sky
114,Carnarvon,AU,-24.8667,113.6333,78.8,89,84,13.8,broken clouds
115,Punta Arenas,CL,-53.15,-70.9167,53.6,71,75,18.41,broken clouds
116,Troy,US,42.6056,-83.1499,39.2,75,1,8.05,clear sky
117,Padang,ID,-0.9492,100.3543,79.74,69,62,4.72,broken clouds
118,Pevek,RU,69.7008,170.3133,-19.61,88,99,2.73,overcast clouds
119,Hithadhoo,MV,-0.6,73.0833,82.08,74,81,21.65,broken clouds
120,La Asuncion,VE,11.0333,-63.8628,76.41,87,55,14.03,broken clouds
121,Chilliwack,CA,49.1747,-121.9443,46.4,53,18,2.3,few clouds
122,Tasiilaq,GL,65.6145,-37.6368,32.0,86,90,34.52,snow
123,Kavieng,PG,-2.5744,150.7967,85.23,69,24,13.33,few clouds
124,Port Blair,IN,11.6667,92.75,78.08,73,0,9.51,clear sky
125,Taunggyi,MM,20.7833,97.0333,51.44,94,14,2.48,few clouds
126,Broken Hill,AU,-31.95,141.4333,71.6,37,0,16.11,clear sky
127,Harper,LR,4.375,-7.7169,78.19,84,100,5.57,light rain
128,Aswan,EG,24.0934,32.907,62.98,42,15,4.9,few clouds
129,Cockburn Town,TC,21.4612,-71.1419,77.94,81,0,18.57,clear sky
130,Sabla,NG,12.7525,4.7077,69.04,21,0,11.01,clear sky
131,Vaini,TO,-21.2,-175.2,86.0,74,75,11.5,broken clouds
132,Camacari,BR,-12.6975,-38.3242,82.4,69,40,11.5,scattered clouds
133,Carutapera,BR,-1.195,-46.02,78.4,82,86,7.87,overcast clouds
134,Husavik,IS,66.0449,-17.3389,41.0,65,90,16.11,overcast clouds
135,Kaeo,NZ,-35.1,173.7833,79.0,61,0,5.99,clear sky
136,Upernavik,GL,72.7868,-56.1549,10.6,96,100,17.54,overcast clouds
137,Bonthe,SL,7.5264,-12.505,78.51,85,0,6.31,clear sky
138,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,40,5.75,scattered clouds
139,Batagay,RU,67.6333,134.6333,-44.54,73,1,1.39,clear sky
140,Komsomolskiy,UZ,40.4272,71.7189,28.4,80,0,4.61,mist
141,Luau,AO,-10.7073,22.2247,64.24,99,100,3.87,overcast clouds
142,San Cristobal,VE,7.7669,-72.225,63.82,82,88,2.17,overcast clouds
143,Rodrigues Alves,BR,-7.738,-72.6509,74.86,96,100,3.02,overcast clouds
144,Santa Rosa,PH,14.3122,121.1114,80.01,73,75,2.3,broken clouds
145,Liverpool,GB,53.4106,-2.9779,48.99,93,75,10.36,moderate rain
146,Lixourion,GR,38.2019,20.4314,53.65,56,0,31.99,clear sky
147,Raudeberg,NO,61.9875,5.1352,26.01,63,0,6.91,clear sky
148,Yulara,AU,-25.2406,130.9889,95.0,17,0,17.27,clear sky
149,Apastovo,RU,55.2029,48.5109,-9.4,77,90,4.47,light snow
150,Uri,IN,34.0833,74.0333,38.39,50,0,12.41,clear sky
151,Bathsheba,BB,13.2167,-59.5167,78.8,73,40,18.41,scattered clouds
152,Papara,BR,-3.9839,-38.7273,81.0,74,40,8.05,scattered clouds
153,Krivodol,BG,43.3744,23.4844,29.7,88,0,6.24,clear sky
154,Bako,ET,5.7833,36.5667,65.82,54,100,2.21,overcast clouds
155,Payakumbuh,ID,-0.2202,100.6308,71.02,87,95,1.14,overcast clouds
156,Arraial Do Cabo,BR,-22.9661,-42.0278,76.24,88,42,19.19,scattered clouds
157,Fairbanks,US,64.8378,-147.7164,-5.8,77,40,2.84,scattered clouds
158,Hambantota,LK,6.1241,81.1185,75.2,100,75,4.61,broken clouds
159,Guaruja,BR,-23.9931,-46.2564,81.0,26,100,5.59,overcast clouds
160,Haines Junction,CA,60.7522,-137.5108,8.6,92,99,3.33,overcast clouds
161,Challapata,BO,-18.9,-66.7667,52.84,64,100,8.55,light rain
162,Beloha,MG,-25.1667,45.05,73.31,96,12,6.2,few clouds
163,Vanino,RU,49.0869,140.2543,5.54,87,11,3.31,few clouds
164,Butaritari,KI,3.0707,172.7902,81.52,78,5,19.82,clear sky
165,Quelimane,MZ,-17.8786,36.8883,75.2,83,0,1.07,clear sky
166,Isla Mujeres,MX,21.2311,-86.731,73.0,100,90,3.44,light rain
167,Northam,GB,51.0333,-4.2167,50.0,100,100,7.0,light rain
168,Sitka,US,57.0531,-135.33,37.4,87,90,3.44,light rain
169,Albany,US,42.6001,-73.9662,34.0,72,100,2.46,overcast clouds
