City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Flinders,AU,87.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
591,Catio,GW,71.19,clear sky,11.2833,-15.25,Pausada Morabedja
593,Mandurah,AU,70.0,clear sky,-32.55,115.7,Atrium Hotel Mandurah
598,Camana,PE,70.88,overcast clouds,-16.6228,-72.7111,Hostal Morales
599,Les Cayes,HT,73.96,few clouds,18.2,-73.75,Villa Orphee
604,Kawalu,ID,78.3,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
606,Pyapon,MM,71.02,clear sky,16.2833,95.6833,Aung Naing Thu Motel
608,Manta,EC,80.6,broken clouds,-0.95,-80.7333,Balandra Hotel
610,Mecca,SA,71.04,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
612,Phan Thiet,VN,71.06,scattered clouds,10.9333,108.1,Hotel Saigon-PT
614,Marawi,PH,76.87,overcast clouds,7.9986,124.2928,Derogongan Residence
618,Bowen,AU,84.2,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
625,Blumenau,BR,73.0,overcast clouds,-26.9194,-49.0661,Plaza Blumenau Hotel
628,San Alberto,CO,79.09,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
634,Puerto Carreno,CO,79.59,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
635,Umm Lajj,SA,73.74,few clouds,25.0213,37.2685,Moon light Furnished Units
641,Jatai,BR,70.09,overcast clouds,-17.8814,-51.7144,Hotel Califórnia
643,Byron Bay,AU,80.6,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
645,Deniliquin,AU,77.0,clear sky,-35.5333,144.9667,Riviana Motel
646,Auki,SB,86.77,overcast clouds,-8.7676,160.7034,Auki Motel
648,Alto Araguaia,BR,71.78,moderate rain,-17.3147,-53.2153,Araguaia Palace Hotel
650,Ocos,GT,82.4,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
656,Caucasia,CO,78.55,overcast clouds,7.9865,-75.1935,Hotel San Rafael
657,Lanas,PH,80.11,light rain,12.0495,121.9185,Carabao Guesthouse
659,Ternate,ID,83.79,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
660,Martapura,ID,73.4,moderate rain,-3.4167,114.85,Montana Hotel Syariah
664,Santa Catalina,PH,80.6,broken clouds,9.3337,122.8637,Don Pacondo
670,Adelaide,AU,71.01,scattered clouds,-34.9333,138.6,The Chancellor on Currie
